model,total_queries,execution_success_rate,result_match_rate,avg_table_access_accuracy,avg_column_access_accuracy,avg_query_similarity,avg_select_similarity,avg_from_similarity,avg_where_similarity,avg_composite_score,empty_results_both,experiment
Qwen 2.5 14b,1167,0.6032562125107113,0.5664095972579263,0.779111070306443,0.7688256460955118,0.7680257043952314,0.8885102146469663,0.8739368090858618,0.8632531984650266,0.556312792897292,1076,finetune
DuckDB NSQL 7b,1167,0.03684661525278492,0.03684661525278492,0.17225873003507966,0.151902782306009,0.4147298295123179,0.5792363507073276,0.3808824808692121,0.43873337104399,0.11735926999528501,1076,finetune
Phi4,1167,0.06683804627249357,0.06426735218508997,0.19662279462672627,0.13974445006920772,0.3563258253810719,0.5720606361618698,0.4164469761509876,0.3514898801729377,0.12218623713282098,1076,finetune
