model,total_queries,execution_success_rate,result_match_rate,avg_table_access_accuracy,avg_column_access_accuracy,avg_query_similarity,avg_select_similarity,avg_from_similarity,avg_where_similarity,avg_composite_score,empty_results_both,experiment
Meditron 7b,5124,0.18540202966432476,0.16978922716627634,0.3006835559162843,0.21878556083846734,0.37958885728193525,0.3558694190676362,0.44753569185363207,0.3529028790921204,0.19278947722902676,4751,fewshot
Qwen 2.5 14b,5124,0.491608118657299,0.45784543325526933,0.38671332922650253,0.25980364441293957,0.41489539697768935,0.4983894480043769,0.4530772417146876,0.3963430754148443,0.30814656440223814,4751,fewshot
DuckDB NSQL 7b,5124,0.32455113192818114,0.29547228727556596,0.5412298230653031,0.48357253683511187,0.6497339720411944,0.7380752144544241,0.7196149078648829,0.5941568053106877,0.35857555536687225,4748,fewshot
Phi4,5124,0.44028103044496486,0.40788446526151445,0.4764133217708091,0.3533455865300699,0.47214093990299355,0.5655188390839166,0.5275641285854522,0.4339886538886296,0.3355312152289294,4751,fewshot
SQLCoder 7b,5124,0.2697111631537861,0.2544886807181889,0.33780179976562325,0.2672152246534863,0.39744339088409575,0.4909536701572984,0.3793092187062392,0.36888434083997906,0.23709434818768813,4751,fewshot
Medalpaca 13b,5124,0.3916861826697892,0.3635831381733021,0.07139639180306935,0.014231195338402787,0.1696182323694256,0.15972567538027338,0.23221980342211632,0.17783868904601025,0.14316228211722762,4751,fewshot
Qwen 1.5 14b,5124,0.09094457455113193,0.08762685402029664,0.28033857725839295,0.12866492513878194,0.35046990683497264,0.4295454017779714,0.4294684843757674,0.32284196400596016,0.14313574736902124,4751,fewshot
Qwen 2 Math 7b,5124,0.11046057767369243,0.10889929742388758,0.2414053437238449,0.13716085149995827,0.3782808704990772,0.4212407554679182,0.4355039813533308,0.3624334453433726,0.14621111532183464,4751,fewshot
MedQwen Reasoning i1,5124,0.3950039032006245,0.36163153786104607,0.4235606649833816,0.2954560852095864,0.4354005885121607,0.5257831492092181,0.46938198193403374,0.4021325377072095,0.29583287024812344,4751,fewshot
