model,total_queries,execution_success_rate,result_match_rate,avg_table_access_accuracy,avg_column_access_accuracy,avg_query_similarity,avg_select_similarity,avg_from_similarity,avg_where_similarity,avg_composite_score,empty_results_both,experiment
Meditron 7b,5124,0.14539422326307572,0.13368462138953943,0.4363565273384118,0.29527475314635504,0.4462231327960118,0.5263141118533174,0.48813292504969336,0.41673219278827384,0.23105395579341642,4751,fewshot
Qwen 2.5 14b,5124,0.49024199843871974,0.45804059328649493,0.47211816476307106,0.3264219873881741,0.4392744922837462,0.5286730045380995,0.4921032961438212,0.4256623185987823,0.3410476576445721,4751,fewshot
DuckDB NSQL 7b,5124,0.2459016393442623,0.2265807962529274,0.451205080316356,0.32012279910034447,0.4540365000377284,0.5487519802585298,0.4988596498781302,0.4428972095852686,0.26764346476299117,4749,fewshot
Phi4,5124,0.44028103044496486,0.40788446526151445,0.45012730546636737,0.3019564202342062,0.4519506106978978,0.5340068558082115,0.49744383587812296,0.4213288406006166,0.3179771457883588,4751,fewshot
SQLCoder 7b,5124,0.25156128024980484,0.234192037470726,0.4599992704483681,0.31323952959333773,0.4427696479885592,0.5305559429599798,0.4744597643471108,0.4082133185629195,0.2691823360484149,4751,fewshot
Medalpaca 13b,5124,0.3561670569867291,0.33138173302107726,0.5177825750270302,0.4524099116261066,0.5939742726730789,0.6826449499526662,0.6706607832545617,0.5415562013289941,0.35285044450425845,4751,fewshot
Qwen 1.5 14b,5124,0.08918813427010149,0.08548009367681499,0.43077430906763464,0.2829121902958679,0.4152415771297312,0.5218110915543264,0.4198945636102295,0.39412387796098935,0.20990548568871809,4751,fewshot
Qwen 2 Math 7b,5124,0.08001561280249805,0.07903981264637003,0.40965898317283955,0.24064817162929455,0.4060324950966905,0.5123112550668849,0.39722722429231455,0.3591485952275838,0.19437662426400687,4751,fewshot
MedQwen Reasoning i1,5124,0.4131537861046058,0.38231850117096017,0.47222204528823897,0.3240565057894765,0.453586711331772,0.5382991364411435,0.499839561484382,0.4277630554586209,0.3193099317000084,4751,fewshot
