model,total_queries,execution_success_rate,result_match_rate,avg_table_access_accuracy,avg_column_access_accuracy,avg_query_similarity,avg_select_similarity,avg_from_similarity,avg_where_similarity,avg_composite_score,empty_results_both,experiment
Qwen 2.5 14b,1167,0.6349614395886889,0.5895458440445587,0.7778774091756097,0.7694959049475985,0.7720176021839019,0.8533624028672147,0.8465250706096988,0.8560954766470227,0.5635401762563994,1114,finetune
DuckDB NSQL 7b,1167,0.6383890317052271,0.596401028277635,0.714312979223005,0.6903108316476496,0.6956814821126504,0.6810026599325477,0.6750676261315497,0.6600280565754723,0.5294132188686863,1118,finetune
Phi4,1167,0.6323907455012854,0.5904027420736933,0.7753675820513868,0.7677348760702822,0.7673769786789184,0.8220522463293489,0.8185811342151201,0.8267672062616568,0.5624790121143336,1118,finetune
