model,total_queries,execution_success_rate,result_match_rate,avg_table_access_accuracy,avg_column_access_accuracy,avg_query_similarity,avg_select_similarity,avg_from_similarity,avg_where_similarity,avg_composite_score,empty_results_both,experiment
Meditron 7b,5124,0.5507416081186572,0.5027322404371585,0.010984257090814468,0.010430629259703682,0.15357193221305154,0.12055921971201766,0.19032551345629772,0.17340972783930356,0.1704598426225563,4751,zeroshot
Qwen 2.5 14b,5124,0.00273224043715847,0.00273224043715847,0.05841821245802511,0.031236768893969157,0.29537497998885737,0.30967523805256897,0.3510126513213982,0.2158380961697321,0.048288166400432125,4751,zeroshot
DuckDB NSQL 7b,5124,0.028298204527712725,0.026736924277907883,0.049357233212619624,0.05320518521394536,0.31469803441400485,0.4211409974979923,0.3755923600243537,0.2940628430512287,0.06000336441008585,4751,zeroshot
Phi4,5124,0.09211553473848556,0.0858704137392662,0.0504892892041604,0.026480336106865697,0.23361455642141582,0.2388426969443841,0.305832024045515,0.19640786847659394,0.06451650482612667,4751,zeroshot
SQLCoder 7b,5124,0.015027322404371584,0.014637002341920375,0.007387869741499717,0.021421547764728217,0.2371571580228871,0.27718203443963507,0.23808141158114712,0.20631669310948292,0.033868700006110405,4751,zeroshot
Medalpaca 13b,5124,1.0,0.9373536299765808,0.0,0.0,0.08782201405152225,0.08782201405152225,0.12158469945355191,0.1643247462919594,0.28998829039812646,4751,zeroshot
Qwen 1.5 14b,5124,0.2898126463700234,0.25878220140515223,0.05117096018735363,0.022363362422599727,0.2162574844254971,0.22308986539555162,0.26806603879525975,0.18935740104710397,0.11396727338608603,4751,zeroshot
Qwen 2 Math 7b,5124,0.4028103044496487,0.37158469945355194,0.008923994053570044,0.011850241724927464,0.1719461758016506,0.14906677791402997,0.1755284067897113,0.17208547036182648,0.13282487457193015,4751,zeroshot
MedQwen Reasoning i1,5124,0.004098360655737705,0.0039032006245121,0.05449378392879564,0.030658441833124984,0.2782702246165745,0.2925447590982901,0.3142352640126859,0.21166572988912377,0.046028427801395204,4751,zeroshot
